2000;1;0,079702;0,032055
2000;2;0,063238;0,016301
2000;3;0,057659;0,010859
2000;4;0,05511;0,008201
2000;5;0,053251;0,0066
2000;6;0,052115;0,005563
2000;7;0,051162;0,004807
2000;8;0,050939;0,004281
2000;9;0,050662;0,003842
2000;10;0,050847;0,003887
2000;11;0,050514;0,00324
2000;12;0,049696;0,003007
2000;13;0,049269;0,002819
2000;14;0,049518;0,002683
2000;15;0,049273;0,002536
2000;16;0,04928;0,002432
2000;17;0,048966;0,002307
2000;18;0,04872;0,002242
;;;
;;;
4000;1;0,312737;0,128365
4000;2;0,250284;0,064996
4000;3;0,233109;0,043566
4000;4;0,218828;0,032718
4000;5;0,211467;0,026252
4000;6;0,210894;0,021965
4000;7;0,203867;0,018823
4000;8;0,201343;0,016583
4000;9;0,203881;0,01484
4000;10;0,19854;0,01334
4000;11;0,197217;0,012211
4000;12;0,199789;0,011295
4000;13;0,195892;0,010499
4000;14;0,197571;0,009834
4000;15;0,195604;0,009181
4000;16;0,211891;0,008797
4000;17;0,194673;0,008237
4000;18;0,193143;0,007852
;;;
;;;
8000;1;1.245.870;0,513546
8000;2;0,994245;0,260846
8000;3;0,912747;0,173127
8000;4;0,865042;0,130136
8000;5;0,836806;0,104136
8000;6;0,82147;0,08692
8000;7;0,806274;0,074674
8000;8;0,799441;0,065615
8000;9;0,799512;0,058158
8000;10;0,785947;0,052475
8000;11;0,781881;0,047833
8000;12;0,777942;0,04396
8000;13;0,778507;0,040532
8000;14;0,77033;0,037729
8000;15;0,76811;0,035324
8000;16;0,764657;0,033381
8000;17;0,764946;0,031303
8000;18;0,76787;0,029592
;;;
;;;
16000;1;4.950.792;2.049.721
16000;2;3.932.234;1.043.241
16000;3;3.595.875;0,697236
16000;4;3.430.099;0,522728
16000;5;3.323.941;0,417919
16000;6;3.246.639;0,347597
16000;7;3.192.644;0,299196
16000;8;3.163.333;0,260369
16000;9;3.118.544;0,231234
16000;10;3.105.725;0,208133
16000;11;3.071.954;0,189096
16000;12;3.059.101;0,17373
16000;13;3.048.425;0,160205
16000;14;3.033.988;0,149016
16000;15;3.035.080;0,139174
16000;16;3.016.250;0,131088
16000;17;3.009.343;0,123164
16000;18;2.999.850;0,116217
;;;
;;;
32000;1;19.625.243;8.184.929
32000;2;15.591.288;4.168.456
32000;3;14.263.612;2.781.638
32000;4;13.564.963;2.092.208
32000;5;13.146.922;1.674.462
32000;6;12.849.428;1.394.423
32000;7;12.637.621;1.190.739
32000;8;12.505.738;1.050.796
32000;9;12.366.820;0,929459
32000;10;12.313.945;0,836919
32000;11;12.197.400;0,762688
32000;12;12.138.683;0,698421
32000;13;12.099.127;0,646125
32000;14;12.095.119;0,599645
32000;15;12.003.664;0,562065
32000;16;11.996.731;0,525073
32000;17;11.929.306;0,49157
32000;18;11.902.739;0,465905
;;;
;;;
40000;1;31.116.707;12.793.504
40000;2;24.865.612;6.484.779
40000;3;22.702.210;4.333.135
40000;4;21.767.754;3.266.203
40000;5;21.059.968;2.604.713
40000;6;20.667.195;2.181.179
40000;7;20.378.002;1.862.146
40000;8;20.088.932;1.634.865
40000;9;19.935.642;1.449.419
40000;10;19.833.885;1.305.084
40000;11;19.626.211;1.195.446
40000;12;19.457.602;1.090.450
40000;13;19.358.155;1.004.742
40000;14;19.274.250;0,940369
40000;15;19.180.929;0,871777
40000;16;19.304.989;0,81667
40000;17;19.120.961;0,768948
40000;18;19.134.291;0,730551
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
2000;1;0,080525;0,032145
4000;2;0,253361;0,06517
6000;3;0,513206;0,097825
8000;4;0,863331;0,130349
10000;5;1.301.307;0,162284
12000;6;1.838.220;0,194968
14000;7;2.449.763;0,22777
16000;8;3.145.451;0,260386
18000;9;3.959.783;0,291843
20000;10;4.827.758;0,324676
22000;11;5.800.253;0,356467
24000;12;6.880.901;0,391459
26000;13;7.987.874;0,425226
28000;14;9.231.511;0,459275
30000;15;10.567.014;0,49378
32000;16;11.957.958;0,522483
34000;17;13.885.665;0,552747
36000;18;15.467.204;0,594257
;;;
;;;
2100;1;0,08728;0,035321
4200;2;0,274513;0,071815
6300;3;0,565802;0,107893
8400;4;0,956133;0,14318
10500;5;1.435.228;0,179232
12600;6;2.013.858;0,216079
14700;7;2.686.580;0,250622
16800;8;3.464.721;0,286608
18900;9;4.354.457;0,325858
21000;10;5.321.516;0,358513
23100;11;6.394.765;0,397291
25200;12;7.563.904;0,431827
27300;13;8.806.898;0,469753
29400;14;10.179.276;0,501965
31500;15;11.640.149;0,540847
33600;16;13.620.365;0,576305
35700;17;15.186.671;0,612841
37800;18;17.146.151;0,646467
;;;
;;;
2200;1;0,097019;0,038967
4400;2;0,305917;0,078968
6600;3;0,62093;0,118183
8800;4;1.051.646;0,157427
11000;5;1.571.265;0,196367
13200;6;2.219.445;0,235637
15400;7;2.950.841;0,274351
17600;8;3.815.545;0,315013
19800;9;4.777.930;0,355189
22000;10;5.832.409;0,394675
24200;11;7.026.805;0,434922
26400;12;8.291.416;0,473613
28600;13;9.666.119;0,513555
30800;14;12.224.642;0,55438
33000;15;13.300.109;0,598611
35200;16;14.949.982;0,633465
37400;17;16.729.793;0,679139
39600;18;18.743.898;0,712206
;;;
;;;
2300;1;0,106261;0,042835
4600;2;0,335261;0,086272
6900;3;0,679798;0,129529
9200;4;1.143.190;0,171399
11500;5;1.728.148;0,21516
13800;6;2.416.822;0,257181
16100;7;3.221.014;0,303701
18400;8;4.168.135;0,344249
20700;9;5.201.144;0,389452
23000;10;6.368.996;0,430726
25300;11;7.633.420;0,475585
27600;12;9.047.243;0,517577
29900;13;10.578.502;0,564096
32200;14;12.211.709;0,604954
34500;15;14.392.214;0,646566
36800;16;16.202.178;0,690244
39100;17;18.287.966;0,734916
41400;18;20.423.183;0,782058
;;;
;;;
2400;1;0,116501;0,046542
4800;2;0,366847;0,094407
7200;3;0,736937;0,140283
9600;4;1.246.496;0,187205
12000;5;1.863.718;0,233273
14400;6;2.630.111;0,280659
16800;7;3.507.687;0,327227
19200;8;4.532.692;0,383361
21600;9;5.661.597;0,423481
24000;10;6.933.639;0,470581
26400;11;8.347.285;0,519966
28800;12;9.868.199;0,567388
31200;13;11.512.159;0,611792
33600;14;13.766.240;0,660516
36000;15;15.680.047;0,705856
38400;16;17.684.284;0,773739
40800;17;19.803.389;0,795224
43200;18;22.193.771;0,844624
;;;
;;;
2500;1;0,126255;0,050573
5000;2;0,392691;0,101757
7500;3;0,799064;0,152957
10000;4;1.345.661;0,203072
12500;5;2.038.257;0,253885
15000;6;2.843.075;0,304554
17500;7;3.825.105;0,357376
